#threads		time
1		1.4977754950523376
2		0.7598580121994019
3		0.5131157636642455
4		0.3873345255851745
5		0.31774941086769093
6		0.2696744203567503
7		0.23785224556922924
8		0.20636996626853946
9		0.189822882413864
10		0.17248561978340163
11		0.17794221639633187
12		0.15365990996360798
13		0.155158370733261
14		0.15007078647613525
15		0.20394235849380474
16		0.206237882375717
17		0.23854690790176383
18		0.24973937869071974
19		0.22691115736961362
20		0.22829461097717285
21		0.23923873901367185
22		0.25572848320007335
23		0.2642267048358916
24		0.2671147882938385
25		0.26621308922767656
26		0.2697232365608215
27		0.27282634377479537
28		0.27879500389099116
29		0.2748133838176726
30		0.282441645860672
31		0.2914106249809266
32		0.28141877055168135
